ID,trackingNumber,customerId,driverId,vehicleId,pickupAddress,deliveryAddress,pickupCity,deliveryCity,weight,status,bookedAt,pickedUpAt,deliveredAt,estimatedDelivery,actualDistance,charges,paymentStatus

44444444-4444-4444-4444-444444444441,SL-2026-00001,33333333-3333-3333-3333-333333333331,22222222-2222-2222-2222-222222222221,11111111-1111-1111-1111-111111111111,12 Harbor Street,77 Lake Avenue,Boston,Chicago,250,Booked,2026-01-01T10:00:00Z,,,2026-01-05T10:00:00Z,1360,450.00,Pending
44444444-4444-4444-4444-444444444442,SL-2026-00002,33333333-3333-3333-3333-333333333332,22222222-2222-2222-2222-222222222222,11111111-1111-1111-1111-111111111112,77 Lake Avenue,19 Queen Street,Chicago,Seattle,5000,InTransit,2026-01-02T10:00:00Z,2026-01-03T08:00:00Z,,2026-01-08T10:00:00Z,3300,2200.00,Paid
44444444-4444-4444-4444-444444444443,SL-2026-00003,33333333-3333-3333-3333-333333333333,22222222-2222-2222-2222-222222222223,11111111-1111-1111-1111-111111111113,55 Maple Road,12 Harbor Street,Dallas,Boston,80,Delivered,2026-01-03T10:00:00Z,2026-01-03T12:00:00Z,2026-01-06T15:00:00Z,2026-01-06T10:00:00Z,2500,650.00,Paid
44444444-4444-4444-4444-444444444444,SL-2026-00004,33333333-3333-3333-3333-333333333334,22222222-2222-2222-2222-222222222224,11111111-1111-1111-1111-111111111115,19 Queen Street,55 Maple Road,Seattle,Dallas,450,OutForDelivery,2026-01-04T10:00:00Z,2026-01-05T08:00:00Z,,2026-01-09T10:00:00Z,3400,1200.00,COD
44444444-4444-4444-4444-444444444445,SL-2026-00005,33333333-3333-3333-3333-333333333331,22222222-2222-2222-2222-222222222221,11111111-1111-1111-1111-111111111111,Boston Hub,Chicago Hub,Boston,Chicago,300,PickedUp,2026-01-05T10:00:00Z,2026-01-05T13:00:00Z,,2026-01-08T10:00:00Z,1360,500.00,Pending
44444444-4444-4444-4444-444444444446,SL-2026-00006,33333333-3333-3333-3333-333333333332,22222222-2222-2222-2222-222222222222,11111111-1111-1111-1111-111111111112,Chicago Hub,Dallas Hub,Chicago,Dallas,6500,InTransit,2026-01-06T10:00:00Z,2026-01-07T09:00:00Z,,2026-01-10T10:00:00Z,1550,2700.00,Paid
44444444-4444-4444-4444-444444444447,SL-2026-00007,33333333-3333-3333-3333-333333333333,22222222-2222-2222-2222-222222222223,11111111-1111-1111-1111-111111111113,Dallas Hub,Seattle Hub,Dallas,Seattle,90,Failed,2026-01-07T10:00:00Z,2026-01-07T13:00:00Z,,2026-01-12T10:00:00Z,3400,900.00,Pending
44444444-4444-4444-4444-444444444448,SL-2026-00008,33333333-3333-3333-3333-333333333334,22222222-2222-2222-2222-222222222224,11111111-1111-1111-1111-111111111115,Seattle Hub,Boston Hub,Seattle,Boston,600,Delivered,2026-01-08T10:00:00Z,2026-01-09T10:00:00Z,2026-01-14T14:00:00Z,2026-01-14T10:00:00Z,4000,1800.00,COD
 
